,year,lat1,long1,lat2,long2
116260,1997,28.585835999999997,77.153336,28.585835999999997,77.153336
116262,1997,10.981411999999999,-74.778319,10.981411999999999,-74.778319
116264,1997,-3.4957019999999996,29.466227000000003,-3.4957019999999996,29.466227000000003
119018,1997,-3.427512,29.924253000000004,-3.427512,29.924253000000004
121757,1997,0.713765,30.61999,0.713765,30.61999
121759,1997,6.941837,79.861687,6.941837,79.861687
121761,1997,28.097438,30.756498999999998,28.097438,30.756498999999998
121772,1997,4.667128,-74.10605600000001,4.667128,-74.10605600000001
121776,1997,24.891115,67.143311,24.891115,67.143311
121785,1997,7.246772,-70.729167,7.246772,-70.729167
121809,1997,7.894195,-72.503885,7.894195,-72.503885
121833,1997,-7.794691,-76.196402,-7.794691,-76.196402
121839,1997,10.482834,-66.962128,10.482834,-66.962128
121889,1997,7.83372,-72.474228,7.83372,-72.474228
121900,1997,36.715666,-4.275504,36.715666,-4.275504
121902,1997,14.596051000000001,120.97866599999999,14.596051000000001,120.97866599999999
121904,1997,6.1429,-75.18417,6.1429,-75.18417
121980,1997,-12.283760000000001,43.741621,-12.283760000000001,43.741621
121982,1997,7.466666,4.566667,7.466666,4.566667
122006,1997,-22.851423,-48.464107,-22.851423,-48.464107
122010,1997,3.4293440000000004,-76.516037,3.4293440000000004,-76.516037
122011,1997,4.667128,-74.10605600000001,3.4293440000000004,-76.516037
122016,1997,0.350848,32.580224,0.350848,32.580224
122018,1997,12.103822000000001,-86.267014,12.103822000000001,-86.267014
122027,1997,36.480453000000004,2.8338799999999997,36.480453000000004,2.8338799999999997
122029,1997,34.882776,-1.31667,34.882776,-1.31667
122033,1997,44.775833,17.185556,44.775833,17.185556
122035,1997,23.131944,-82.36416700000001,23.131944,-82.36416700000001
122037,1997,13.344636999999999,103.84705500000001,13.344636999999999,103.84705500000001
122039,1997,7.060051,-73.853115,7.060051,-73.853115
122091,1997,7.883605,-76.631923,7.883605,-76.631923
126501,1997,4.53581,-76.10659,4.53581,-76.10659
126510,1997,26.912434,75.78727099999999,26.912434,75.78727099999999
126512,1997,6.828333,-75.513056,6.828333,-75.513056
126514,1997,6.242026,-75.564766,6.242026,-75.564766
126516,1997,31.408821999999997,73.083021,31.408821999999997,73.083021
126518,1997,19.374912,-69.849991,19.374912,-69.849991
126520,1997,8.778603,80.485242,8.778603,80.485242
126522,1997,2.94818,-75.04098,2.94818,-75.04098
126524,1997,47.498406,19.040758,47.498406,19.040758
126571,1997,36.763763,3.055413,36.763763,3.055413
126580,1997,41.930607,8.742907,41.930607,8.742907
126591,1997,33.541351,35.586215,33.541351,35.586215
126593,1997,53.799639,-1.5491219999999999,53.799639,-1.5491219999999999
126595,1997,37.38264,-5.996295,37.38264,-5.996295
126919,1997,41.106178,28.689863,2.877973,32.724087
126921,1997,41.106178,28.689863,41.106178,28.689863
126922,1997,10.482834,-66.962128,2.877973,32.724087
126923,1997,10.482834,-66.962128,41.106178,28.689863
126925,1997,41.106178,28.689863,36.70993,67.1157
126928,1997,10.482834,-66.962128,36.70993,67.1157
126931,1997,-8.855222,126.364246,-8.855222,126.364246
126933,1997,4.085808999999999,-76.197188,4.085808999999999,-76.197188
126935,1997,8.750039,-77.616676,8.750039,-77.616676
126937,1997,42.374887,9.529963,42.374887,9.529963
126939,1997,18.822124,95.219736,18.822124,95.219736
126948,1997,16.887781,96.149559,16.887781,96.149559
129260,1997,7.14266,-71.971627,7.14266,-71.971627
129262,1997,44.226667,17.670556,44.226667,17.670556
129264,1997,7.116294,-73.120026,7.116294,-73.120026
129268,1997,21.973508,96.08208,21.973508,96.08208
129873,1997,43.825645,87.616823,43.825645,87.616823
129882,1997,10.401944,-74.108333,10.401944,-74.108333
129893,1997,15.50167,-88.02774000000001,15.50167,-88.02774000000001
129952,1997,41.919593,8.737687,41.919593,8.737687
135891,1997,37.69511,-6.550632,37.69511,-6.550632
135893,1997,16.717265,98.569642,16.717265,98.569642
135904,1997,28.8909,76.5796,28.8909,76.5796
135906,1997,-9.825118,-73.087749,-9.825118,-73.087749
136020,1997,32.08297,34.811886,32.08297,34.811886
136022,1997,43.339285,-3.805301,43.35154,-3.8141300000000005
136023,1997,43.35154,-3.8141300000000005,43.35154,-3.8141300000000005
136024,1997,43.35154,-3.8141300000000005,43.339285,-3.805301
136031,1997,38.552184999999994,68.767441,38.552184999999994,68.767441
136033,1997,36.149745,-95.99333399999999,36.149745,-95.99333399999999
136042,1996,28.928774,77.09128100000001,28.928774,77.09128100000001
136043,1996,16.887781,96.149559,16.887781,96.149559
136045,1996,27.708754,85.329498,27.708754,85.329498
136054,1996,-29.340513,30.630557,-29.340513,30.630557
138946,1996,26.444619,91.441053,26.444619,91.441053
138948,1996,43.696036,7.265592,43.696036,7.265592
138950,1996,17.054348,-96.71295400000001,17.054348,-96.71295400000001
138952,1996,41.930607,8.742907,41.930607,8.742907
138976,1996,41.106178,28.689863,2.7716790000000002,32.288421
138978,1996,41.106178,28.689863,41.106178,28.689863
138982,1996,33.44826,-112.075774,2.7716790000000002,32.288421
138983,1996,33.44826,-112.075774,41.106178,28.689863
138998,1996,42.699996999999996,9.447317,42.699996999999996,9.447317
139009,1996,44.840278000000005,18.79,44.840278000000005,18.79
139059,1996,37.99749,23.762728,37.99749,23.762728
139070,1996,41.919229,8.738635,41.919229,8.738635
139072,1996,6.242026,-75.564766,6.242026,-75.564766
139074,1996,47.498406,19.040758,47.498406,19.040758
139076,1996,6.23384,-75.1617,6.23384,-75.1617
139080,1996,6.1876,-74.99429,6.1876,-74.99429
141000,1996,7.882318,-76.630626,7.882318,-76.630626
141002,1996,43.291618,-1.977903,43.291618,-1.977903
141011,1996,6.2675,-75.568611,6.2675,-75.568611
141077,1996,7.882318,-76.630626,6.2675,-75.568611
141101,1996,6.2675,-75.568611,7.882318,-76.630626
145652,1996,-7.7050529999999995,113.99527900000001,-7.7050529999999995,113.99527900000001
153378,1996,44.623056,18.969722,44.623056,18.969722
153402,1996,54.515693999999996,-6.055724,54.515693999999996,-6.055724
153404,1996,29.471560999999998,77.698972,29.471560999999998,77.698972
153406,1996,43.836698999999996,4.360054,43.836698999999996,4.360054
153408,1996,33.778175,76.576171,33.778175,76.576171
153432,1996,-17.0,-72.10638900000001,-17.0,-72.10638900000001
153441,1996,,,,
153531,1996,9.337295,-73.653621,9.337295,-73.653621
156476,1996,34.08374,74.789902,34.08374,74.789902
156926,1996,33.732215999999994,75.157913,33.732215999999994,75.157913
156976,1996,24.891115,67.143311,24.891115,67.143311
156978,1996,41.918890999999995,8.737554,41.918890999999995,8.737554
157068,1996,5.026003,-74.030012,5.026003,-74.030012
157077,1996,4.667128,-74.10605600000001,4.667128,-74.10605600000001
157110,1996,-17.382789000000002,-66.166439,6.17215,-75.609571
157111,1996,-19.651672,-63.675917000000005,6.17215,-75.609571
157112,1996,-19.651672,-63.675917000000005,-17.382789000000002,-66.166439
157115,1996,-19.651672,-63.675917000000005,-19.651672,-63.675917000000005
157116,1996,44.966944,15.943056,6.17215,-75.609571
157117,1996,44.966944,15.943056,-17.382789000000002,-66.166439
157118,1996,44.966944,15.943056,-19.651672,-63.675917000000005
157130,1996,6.17215,-75.609571,6.17215,-75.609571
157140,1996,-6.2088209999999995,106.846046,-6.2088209999999995,106.846046
157464,1996,43.793028,87.627812,43.793028,87.627812
208271,1996,3.4293440000000004,-76.516037,3.4293440000000004,-76.516037
208273,1996,42.870022,74.58788299999999,42.870022,74.58788299999999
